 
 
 
 
#  id     pos         dens           U           pres       weightedn    weightedP    weightedU       A    hsmooth
 151   1.5100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 152   1.5200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 153   1.5300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 154   1.5400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 155   1.5500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 156   1.5600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 157   1.5700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 158   1.5800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 159   1.5900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 160   1.6000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 161   1.6100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 162   1.6200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 163   1.6300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 164   1.6400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 165   1.6500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 166   1.6600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 167   1.6700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 168   1.6800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 169   1.6900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 170   1.7000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 171   1.7100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 172   1.7200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 173   1.7300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 174   1.7400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 175   1.7500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 176   1.7600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
